Merchant,State,State_Abbreviation,Lat,Lang
Ya Salam Mini Marke,Kota Belud   ,SAB,6.3440603,116.4768349
Wah Yam Enterprise ,Tanah Merah  ,KEL,5.697757,102.0615458
Carol Trading - Kot,Kota Belud   ,SAB,6.367541500000001,116.4454869
Dinie Mini Market -,Kota Bharu   ,KEL,6.1471724,102.2937755
Ira Jaya Trading - ,Gual Ipoh    ,KEL,undefined,undefined
E.P Enterprise     ,Keningau     ,SAB,5.4345588,116.169601
Kedai Runcit Sinua ,Keningau     ,SAB,5.3374039,116.1566801
Ng Woon Ent - Banda,Bandar Seri J,NS ,undefined,undefined
Maju Empire        ,Tawau        ,SAB,4.244651,117.8911861
Sytrin Trading - Ba,Bachok       ,KEL,6.047655799999999,102.394478
L&F Enterprise     ,Keningau     ,SAB,undefined,undefined
Jasmi Bin Wan Omar ,Pasir Mas    ,KEL,6.052601200000001,102.1889524
Aziesya Berkat Ente,Marang       ,TER,undefined,undefined
Seven T GM Shop - G,Gua Musang   ,KEL,4.8316367,101.9857306
Yuzairy Ent - Kota ,Kota Bharu   ,KEL,6.125142400000001,102.2379201
Lee Hong Kee Sdn Bh,Kuantan      ,PAH,3.8064793,103.3143046
Norhalina Binti Mam,Marang       ,TER,undefined,undefined
Onuvuw Kimia       ,Kudat        ,SAB,6.7497433,116.7209377
Kamarul Zaman Legac,Pasir Puteh  ,KEL,5.8364234,102.4083212
Norosidah Binti Jus,Pasir Puteh  ,KEL,5.8364234,102.4083212
Rosilawaty Binti Ab,Pasir Puteh  ,KEL,5.8364234,102.4083212
D Quqoqs Jaya Enter,Kota Tinggi  ,JOH,1.7289043,103.8990801
Husna Tele Network ,Pasir Mas    ,KEL,6.118313499999999,102.2438359
Mohd Zulkifli Bin C,Tanah Merah  ,KEL,5.808886999999999,102.1470772
G EKSPRES HULU LANG,SELANGOR     ,SEL,3.1107549,101.7647159
Pasaraya Azmi - Tum,Tumpat       ,KEL,6.1561901,102.128139
SHOPSMART HI KL TRA,KUALA LUMPUR ,KUL,3.1013269,101.7076735
GIANT MINI PUSAT DA,SELANGOR     ,SEL,3.0254212,101.5712866
ARTINI BINTI ISHAK ,Kuala Krai   ,KEL,5.2737424,102.1898816
Syarikat Sunmugasto,Bentong      ,PAH,3.522168,101.910353
Jue Paloh Ent - Gua,Gua Musang   ,KEL,4.884278999999999,101.968178
Tuan Muhamad Harizo,Tanah Merah  ,KEL,-7.0907247,112.8900804
KOP MRSM BAGAN DATU,BAGAN DATUK  ,PER,3.99191,100.7861479
Alaf Baru Enterpris,Keningau     ,SAB,5.481786899999999,116.5788282
Shahira Zaki Ent - ,Kuala Terengg,TER,5.3283231,103.1412157
Meloney Enterprise ,Kudat        ,SAB,6.883057099999999,116.8466165
Thaya Mini Market S,Petaling Jaya,SEL,3.0833317,101.6286588
Bukhari Bin Mukhtar,Pasir Mas    ,KEL,6.042412,102.142782
Mizi 68 Enterprise ,Dungun       ,TER,4.754875999999999,103.4155861
Syntec Plus (M) Sdn,Tanah Merah  ,KEL,5.808886999999999,102.1470772
GIANT MINI MAXIM CI,KUALA LUMPUR ,KUL,3.2024389,101.717291
KOP MRSM BAGAN DATU,BAGAN DATUK  ,PER,3.99191,100.7861479
GIANT MINI SUNGAI L,SELANGOR     ,SEL,3.0418032,101.7930748
Mr Usaha Jaya Enter,Kuala Krai   ,KEL,5.5314839,102.1984589
SUNGAI TEKU 2 MAJU ,Kuala Krai   ,KEL,5.5314839,102.1984589
KOPERASI SEKOLAH AL,PUTRAJAYA    ,W.P,2.926361,101.696445
Koperasi Pukak Kiul,Tamparuli    ,SAB,6.1342129,116.2663829
GIANT MINI SEKSYEN ,SELANGOR     ,SEL,3.1668771,101.5339459
GIANT MINI SEKSYEN ,SELANGOR     ,SEL,3.1668771,101.5339459
Anha Legacy Enterpr,Batu Kurau   ,PRK,4.975359999999999,100.7976082
Marzila Binti Hassa,Machang      ,KEL,5.767932999999999,102.2153872
Olevia Binti Donald,Keningau     ,SAB,5.3374039,116.1566801
GIANT MINI SRI DAMA,KUALA LUMPUR ,KUL,3.1980923,101.5941461
Hasnah Binti Yusoff,Kuala Krai   ,KEL,5.5314839,102.1984589
GIANT MINI CALTEX T,SELANGOR     ,SEL,3.0048952,101.6909004
GIANT MINI PUCHONG ,SELANGOR     ,SEL,3.0092075,101.6150917
GIANT MINI ELMINA E,SELANGOR     ,SEL,3.1884702,101.5219053
Iqka Pet Shop - Sub,Shah Alam    ,SEL,3.166646,101.542223
Perniagaan A Z Abar,Tanah Merah  ,KEL,5.808886999999999,102.1470772
SHOPSMART TAMAN MEL,KUALA LUMPUR ,KUL,3.1013269,101.7076735
Jp Fort Hill Mini M,Kota Belud   ,JOH,6.3589967,116.430902
GIANT MINI JALAN SU,SELANGOR     ,SEL,3.1980923,101.5941461
GIANT MINI KAJANG P,SELANGOR     ,SEL,3.0048952,101.6909004
