Merchant,State,State Abbreviation
Ya Salam Mini Marke,Kota Belud   ,SAB
Wah Yam Enterprise ,Tanah Merah  ,KEL
Carol Trading - Kot,Kota Belud   ,SAB
Dinie Mini Market -,Kota Bharu   ,KEL
Ira Jaya Trading - ,Gual Ipoh    ,KEL
E.P Enterprise     ,Keningau     ,SAB
Kedai Runcit Sinua ,Keningau     ,SAB
Ng Woon Ent - Banda,Bandar Seri J,NS 
Maju Empire        ,Tawau        ,SAB
Sytrin Trading - Ba,Bachok       ,KEL
L&F Enterprise     ,Keningau     ,SAB
Jasmi Bin Wan Omar ,Pasir Mas    ,KEL
Aziesya Berkat Ente,Marang       ,TER
Seven T GM Shop - G,Gua Musang   ,KEL
Yuzairy Ent - Kota ,Kota Bharu   ,KEL
Lee Hong Kee Sdn Bh,Kuantan      ,PAH
Norhalina Binti Mam,Marang       ,TER
Onuvuw Kimia       ,Kudat        ,SAB
Kamarul Zaman Legac,Pasir Puteh  ,KEL
Norosidah Binti Jus,Pasir Puteh  ,KEL
Rosilawaty Binti Ab,Pasir Puteh  ,KEL
D Quqoqs Jaya Enter,Kota Tinggi  ,JOH
Husna Tele Network ,Pasir Mas    ,KEL
Mohd Zulkifli Bin C,Tanah Merah  ,KEL
G EKSPRES HULU LANG,SELANGOR     ,SEL
Pasaraya Azmi - Tum,Tumpat       ,KEL
SHOPSMART HI KL TRA,KUALA LUMPUR ,KUL
GIANT MINI PUSAT DA,SELANGOR     ,SEL
ARTINI BINTI ISHAK ,Kuala Krai   ,KEL
Syarikat Sunmugasto,Bentong      ,PAH
Jue Paloh Ent - Gua,Gua Musang   ,KEL
Tuan Muhamad Harizo,Tanah Merah  ,KEL
KOP MRSM BAGAN DATU,BAGAN DATUK  ,PER
Alaf Baru Enterpris,Keningau     ,SAB
Shahira Zaki Ent - ,Kuala Terengg,TER
Meloney Enterprise ,Kudat        ,SAB
Thaya Mini Market S,Petaling Jaya,SEL
Bukhari Bin Mukhtar,Pasir Mas    ,KEL
Mizi 68 Enterprise ,Dungun       ,TER
Syntec Plus (M) Sdn,Tanah Merah  ,KEL
GIANT MINI MAXIM CI,KUALA LUMPUR ,KUL
KOP MRSM BAGAN DATU,BAGAN DATUK  ,PER
GIANT MINI SUNGAI L,SELANGOR     ,SEL
Mr Usaha Jaya Enter,Kuala Krai   ,KEL
SUNGAI TEKU 2 MAJU ,Kuala Krai   ,KEL
KOPERASI SEKOLAH AL,PUTRAJAYA    ,W.P
Koperasi Pukak Kiul,Tamparuli    ,SAB
GIANT MINI SEKSYEN ,SELANGOR     ,SEL
GIANT MINI SEKSYEN ,SELANGOR     ,SEL
Anha Legacy Enterpr,Batu Kurau   ,PRK
Marzila Binti Hassa,Machang      ,KEL
Olevia Binti Donald,Keningau     ,SAB
GIANT MINI SRI DAMA,KUALA LUMPUR ,KUL
Hasnah Binti Yusoff,Kuala Krai   ,KEL
GIANT MINI CALTEX T,SELANGOR     ,SEL
GIANT MINI PUCHONG ,SELANGOR     ,SEL
GIANT MINI ELMINA E,SELANGOR     ,SEL
Iqka Pet Shop - Sub,Shah Alam    ,SEL
Perniagaan A Z Abar,Tanah Merah  ,KEL
SHOPSMART TAMAN MEL,KUALA LUMPUR ,KUL
Jp Fort Hill Mini M,Kota Belud   ,JOH
GIANT MINI JALAN SU,SELANGOR     ,SEL
GIANT MINI KAJANG P,SELANGOR     ,SEL
GIANT MINI SEKSYEN ,SELANGOR     ,SEL
Pkc Mega Enterprise,Machang      ,KEL
Kedai Runcit Kg. Ge,Kuala Penyu  ,SAB
Transit Mini Market,Tuaran       ,SAB
